Date,sp500,dtb3,aig,ibm,ford,xom
2000-10-03,1426.46,6.06,1464.2946,77.556053,15.893432,27.730568
2000-10-04,1434.3199,6.06,1459.5312,80.230408,16.358608,27.253437
2000-10-05,1436.28,6.07,1463.3416,79.397354,16.087257,27.234365
2000-10-06,1408.99,6.06,1427.1396,81.370293,15.69961,27.310696
2000-10-10,1387.02,6.05,1415.7068,80.581116,15.583312,28.493965
2000-10-11,1364.59,6.05,1434.7606,78.564392,14.963089,28.627563
2000-10-12,1329.78,6.01,1373.7887,72.33889,14.497913,28.742083
2000-10-13,1374.17,6.02,1412.8489,76.503845,15.738373,27.635141
2000-10-16,1374.62,6.06,1409.9907,77.950615,15.273194,26.81448
2000-10-17,1349.97,6.12,1398.5584,79.265839,15.1569,26.81448
2000-10-18,1342.13,6.12,1418.5652,66.946358,15.544552,26.432787
2000-10-19,1388.76,6.14,1442.3827,67.647804,15.893432,26.413694
2000-10-20,1396.9301,6.13,1449.0511,66.464066,15.544552,27.005335
2000-10-23,1395.78,6.16,1454.7677,65.148827,15.62208,27.196178
2000-10-24,1398.13,6.17,1486.2064,64.140457,16.00972,26.490038
2000-10-25,1364.9,6.2,1514.7876,61.422295,15.583312,26.623627
2000-10-26,1364.4399,6.18,1422.3759,65.061142,15.583312,26.795401
2000-10-27,1379.58,6.17,1443.335,65.718788,15.854661,26.738144
2000-10-30,1398.66,6.19,1509.0707,65.455704,16.631317,27.310696
2000-10-31,1429.4,6.19,1493.8281,69.094574,16.395969,27.234365
2000-11-01,1421.22,6.18,1479.5374,69.138397,16.199841,28.112272
2000-11-02,1428.3199,6.19,1467.1527,71.505882,16.356747,26.928995
2000-11-03,1426.6899,6.2,1447.1458,70.234467,15.886051,26.719051
2000-11-06,1432.1899,6.24,1490.9701,70.36602,16.592091,27.081686
2000-11-07,1431.87,6.23,1514.7876,71.768921,15.689921,27.177095
2000-11-08,1409.28,6.22,1507.1658,70.236015,15.572249,27.692406
2000-11-09,1400.14,6.21,1531.9358,69.840958,15.964497,27.713211
2000-11-10,1365.98,6.19,1527.1724,65.319496,15.729141,27.616838
2000-11-13,1351.26,6.19,1490.0173,68.436234,15.886051,27.732477
2000-11-14,1382.95,6.18,1502.4025,69.884857,15.886051,27.713211
2000-11-15,1389.8101,6.19,1493.8281,69.797035,16.474415,27.867392
2000-11-16,1372.3199,6.17,1495.7336,69.006897,15.689921,27.963757
2000-11-17,1367.72,6.17,1483.3484,71.596855,15.650695,27.848118
2000-11-20,1342.62,6.18,1476.6801,72.518692,14.748527,28.175732
2000-11-21,1347.35,6.18,1454.7677,69.182495,15.297674,28.715355
2000-11-22,1322.36,6.18,1409.9907,69.182495,14.944645,29.062262
2000-11-24,1341.77,6.18,1415.7068,70.192108,15.101548,29.12006
2000-11-27,1348.97,6.14,1412.8489,69.138588,15.41535,28.715355
2000-11-28,1336.09,6.1,1428.0923,68.743515,15.140779,28.696079
2000-11-29,1341.9301,6.06,1463.3706,70.104332,15.336899,27.424137
2000-11-30,1314.95,6.03,1477.6614,65.670677,14.277825,27.135038
2000-12-01,1315.23,6.05,1485.2833,67.163185,15.179995,27.385586
2000-12-04,1324.97,6,1503.385,69.094666,14.944645,27.963757
2000-12-05,1376.54,5.91,1525.297,72.606476,15.53302,27.250687
2000-12-06,1351.46,5.92,1543.3984,67.953377,14.983872,26.59543
2000-12-07,1343.55,5.94,1551.9729,65.40731,15.062326,27.135038
2000-12-08,1369.89,5.92,1580.5549,68.128929,15.140779,27.289227
2000-12-11,1380.2,5.91,1525.297,66.72422,14.983872,26.441254
2000-12-12,1371.1801,5.89,1516.7227,65.934082,14.82697,26.691793
2000-12-13,1359.99,5.89,1490.0471,64.09037,14.82697,27.038683
2000-12-14,1340.9301,5.89,1471.9454,64.924393,14.591633,26.364161
2000-12-15,1312.15,5.85,1459.5602,61.676022,14.12093,25.940189
2000-12-18,1322.74,5.78,1499.5737,63.563595,14.748527,26.633986
2000-12-19,1305.6,5.76,1432.8838,63.300217,14.787748,26.884502
2000-12-20,1264.74,5.66,1422.4041,60.403004,13.885577,26.267811
2000-12-21,1274.86,5.24,1476.7086,57.28627,15.179995,26.132912
2000-12-22,1305.95,5.13,1475.7557,62.510056,14.317055,26.768869
